Upload	Ul_time	Ul_SINR(db)	Ul_tbSize	Download	Dl_Time	DL_SINR(db)	DL_tbsize
UL	1,3808	40,9563	2126	DL	1,3628	40,5665	2126
UL	1,3808	40,8085	2126	DL	1,3628	40,7729	2126
UL	1,3908	40,3293	2126	DL	1,3728	40,9822	2126
UL	1,3908	40,493	2126	DL	1,3728	41,0991	2126
UL	1,4008	40,3112	2126	DL	1,3828	40,5047	2126
UL	1,4008	40,5052	2126	DL	1,3828	40,6845	2126
UL	1,4108	40,373	2126	DL	1,3928	40,3836	2126
UL	1,4108	39,5654	2126	DL	1,3928	40,4483	2126
UL	1,4208	39,6281	2126	DL	1,4028	40,3724	2126
UL	1,4208	39,0541	2126	DL	1,4028	39,6531	2126
UL	1,4308	38,819	2126	DL	1,4128	39,6079	2126
UL	1,4308	38,3945	2126	DL	1,4128	39,099	2126
UL	1,4408	38,1938	2126	DL	1,4228	38,8927	2126
UL	1,4408	37,8069	2126	DL	1,4228	38,3846	2126
UL	1,4508	37,6963	2126	DL	1,4328	38,033	2126
UL	1,4508	37,3948	2126	DL	1,4328	37,7867	2126
UL	1,4608	37,8364	2126	DL	1,4428	37,8179	2126
UL	1,4608	38,4238	2126	DL	1,4428	37,1272	2126
UL	1,4708	37,6584	2126	DL	1,4528	38,0412	2126
UL	1,4708	38,0678	2126	DL	1,4528	38,1665	2126
UL	1,4808	38,1305	2126	DL	1,4628	37,6793	2126
UL	1,4808	38,0691	2126	DL	1,4628	38,1318	2126
UL	1,4908	38,3848	2126	DL	1,4728	37,9515	2126
UL	1,4908	39,2041	2126	DL	1,4728	37,8358	2126
UL	1,5008	39,263	2126	DL	1,4828	38,4974	2126
UL	1,5008	39,4682	2126	DL	1,4828	39,1575	2126
UL	1,5108	39,6146	2126	DL	1,4928	39,1846	2126
UL	1,5108	40,5206	2126	DL	1,4928	39,5807	2126
UL	1,5208	41,0927	2126	DL	1,5028	39,8987	2126
UL	1,5208	41,1397	2126	DL	1,5028	40,7456	2126
UL	1,5308	41,3518	2126	DL	1,5128	41,2878	2126
UL	1,5308	41,3951	2126	DL	1,5128	41,1637	2126
UL	1,5408	41,6036	2126	DL	1,5228	41,438	2126
UL	1,5408	41,505	2126	DL	1,5228	41,4527	2126
UL	1,5508	41,3962	2126	DL	1,5328	41,507	2126
UL	1,5508	40,7568	2126	DL	1,5328	41,8215	2126
UL	1,5608	40,536	2126	DL	1,5428	41,2434	2126
UL	1,5608	41,6146	2126	DL	1,5428	40,808	2126
UL	1,5708	41,5222	2126	DL	1,5528	40,6895	2126
UL	1,5708	42,1424	2126	DL	1,5528	41,662	2126
UL	1,5808	41,5198	2126	DL	1,5628	41,6924	2126
UL	1,5808	41,7651	2126	DL	1,5628	42,0727	2126
UL	1,5908	41,2184	2126	DL	1,5728	41,5367	2126
UL	1,5908	40,8799	2126	DL	1,5728	41,7102	2126
UL	1,6008	40,5039	2126	DL	1,5828	41,0917	2126
UL	1,6008	40,5267	2126	DL	1,5828	40,9357	2126
UL	1,6108	41,1841	2126	DL	1,5928	40,5014	2126
UL	1,6108	40,2535	2126	DL	1,5928	40,5271	2126
UL	1,6208	40,1028	2126	DL	1,6028	41,1989	2126
UL	1,6208	40,6219	2126	DL	1,6028	40,211	2126
UL	1,6308	39,9893	2126	DL	1,6128	40,1962	2126
UL	1,6308	40,6478	2126	DL	1,6128	40,5147	2126
UL	1,6408	40,0784	2126	DL	1,6228	40,0598	2126
UL	1,6408	40,267	2126	DL	1,6228	40,458	2126
UL	1,6508	40,9744	2126	DL	1,6328	40,0042	2126
UL	1,6508	40,906	2126	DL	1,6328	40,3568	2126
UL	1,6608	41,2688	2126	DL	1,6428	40,8825	2126
UL	1,6608	40,7782	2126	DL	1,6428	41,2011	2126
UL	1,6708	41,5327	2126	DL	1,6528	41,2606	2126
UL	1,6708	41,6162	2126	DL	1,6528	40,9045	2126
UL	1,6808	41,6124	2126	DL	1,6628	41,8905	2126
UL	1,6808	40,7105	2126	DL	1,6628	41,5655	2126
UL	1,6908	41,9698	2126	DL	1,6728	41,2302	2126
UL	1,6908	42,9086	2126	DL	1,6728	40,8538	2126
UL	1,7008	42,9739	2126	DL	1,6828	42,0441	2126
UL	1,7008	42,9806	2126	DL	1,6828	43,1403	2126
