DL/UL	time	tbSize	SINR(dB)
DL	240.279	2126	399.756
DL	2.4028	2126	372.979
DL	241.279	2126	40.463
DL	2.4128	2126	376.322
DL	242.279	2126	399.194
DL	2.4228	2126	378.794
DL	243.279	2126	39.314
DL	2.4328	2126	37.645
DL	244.279	2126	396.108
DL	2.4428	2126	375.423
DL	245.279	2126	401.375
DL	2.4528	2126	381.158
DL	246.279	2126	402.062
DL	2.4628	2126	388.303
DL	247.279	2126	392.678
DL	2.4728	2126	38.905
DL	248.279	2126	395.788
DL	2.4828	2126	394.687
DL	249.279	2126	398.563
DL	2.4928	2126	385.087
DL	250.279	2126	394.969
DL	2.5028	2126	384.726
DL	251.279	2126	389.443
DL	2.5128	2126	38.381
DL	252.279	2126	385.951
DL	2.5228	2126	391.599
DL	253.279	2126	390.726
DL	2.5328	2126	394.367
DL	254.279	2126	390.487
DL	2.5428	2126	391.945
DL	255.279	2126	392.187
DL	2.5528	2126	390.787
DL	256.279	2126	38.961
DL	2.5628	2126	38.513
DL	257.279	2126	390.216
DL	2.5728	2126	383.396
DL	258.279	2126	39.978
DL	2.5828	2126	380.476
DL	259.279	2126	395.742
DL	2.5928	2126	385.483
DL	260.279	2126	390.989
DL	2.6028	2126	386.018
DL	261.279	2126	401.697
DL	2.6128	2126	386.555
DL	262.279	2126	40.511
DL	2.6228	2126	386.415
DL	263.279	2126	406.645
DL	2.6328	2126	391.326
DL	264.279	2126	408.344
DL	2.6428	2126	392.619
DL	265.279	2126	408.105
DL	2.6528	2126	397.082
DL	266.279	2126	412.298
DL	2.6628	2126	399.212
DL	267.279	2126	41.326
DL	2.6728	2126	398.884
DL	268.279	2126	413.073
DL	2.6828	2126	39.408
DL	269.279	2126	413.306
DL	2.6928	2126	400.564
DL	270.279	2126	413.411
DL	2.7028	2126	395.591
DL	271.279	2126	416.186
DL	2.7128	2126	392.962
DL	272.279	2126	421.943
DL	2.7228	2126	398.074
DL	273.279	2126	42.666
DL	2.7328	2126	395.833
DL	274.279	2126	431.882
DL	2.7428	2126	389.664
DL	275.279	2126	437.397
DL	2.7528	2126	387.482
DL	276.279	2126	434.677
DL	2.7628	2126	393.579
DL	277.279	2126	426.631
DL	2.7728	2126	390.825
DL	278.279	2126	424.966
DL	2.7828	2126	395.182
DL	279.279	2126	419.946
DL	2.7928	2126	396.454
DL	280.279	2126	426.097
DL	2.8028	2126	395.258
DL	281.279	2126	427.023
DL	2.8128	2126	396.137
DL	282.279	2126	423.359
DL	2.8228	2126	394.542
DL	283.279	2126	425.909
DL	2.8328	2126	391.803
DL	284.279	2126	426.937
DL	2.8428	2126	395.934
DL	285.279	2126	427.907
DL	2.8528	2126	400.577
DL	286.279	2126	426.317
DL	2.8628	2126	403.125
DL	287.279	2126	427.678
DL	2.8728	2126	407.224
DL	288.279	2126	426.176
DL	2.8828	2126	410.138
DL	289.279	2126	426.337
DL	2.8928	2126	409.935
DL	290.279	2126	421.917
DL	2.9028	2126	411.672
DL	291.279	2126	421.578
DL	2.9128	2126	406.601
DL	292.279	2126	419.758
DL	2.9228	2126	411.417
DL	293.279	2126	429.232
DL	2.9328	2126	408.558
DL	294.279	2126	425.553
DL	2.9428	2126	40.603
DL	295.279	2126	423.238
DL	2.9528	2126	403.792
DL	296.279	2126	424.528
DL	2.9628	2126	405.644
DL	297.279	2126	426.061
DL	2.9728	2126	405.915
DL	298.279	2126	425.251
DL	2.9828	2126	40.505
DL	299.279	2126	419.375
DL	2.9928	2126	404.144
DL	300.279	2126	419.514
DL	3.2028	2126	40.665
DL	301.279	2126	42.148
DL	3.0128	2126	404.117
DL	302.279	2126	415.395
DL	3.0228	2126	401.334
DL	303.279	2126	420.212
DL	3.0328	2126	401.463
DL	304.279	2126	418.754
DL	3.0428	2126	399.502
DL	305.279	2126	423.881
DL	3.0528	2126	402.406
DL	306.279	2126	42.253
DL	3.0628	2126	408.134
DL	307.279	2126	419.017
DL	3.0728	2126	408.191
DL	308.279	2126	415.881
DL	3.0828	2126	406.008
DL	309.279	2126	414.559
DL	3.0928	2126	399.845
DL	310.279	2126	416.024
DL	3.1028	2126	398.347
DL	311.279	2126	412.884
DL	3.1128	2126	402.061
DL	312.279	2126	410.783
DL	3.1228	2126	400.084
DL	313.279	2126	413.033
