DL/UL	time	tbSize	SINR(dB)
UL	1.4908	2126	384.087
DL	149.279	2126	321.694
DL	1.4928	2126	382.658
UL	150.079	2126	322.224
UL	1.5008	2126	383.846
DL	150.279	2126	321.658
DL	1.5028	2126	383.754
UL	151.079	2126	321.628
UL	1.5108	2126	389.139
DL	151.279	2126	318.021
DL	1.5128	2126	38.745
UL	152.079	2126	324.719
UL	1.5208	2126	38.768
DL	152.279	2126	32.156
DL	1.5228	2126	38.806
UL	153.079	2126	32.054
UL	1.5308	2126	382.868
DL	153.279	2126	322.219
DL	1.5328	2126	384.726
UL	154.079	2126	333.201
UL	1.5408	2126	386.849
DL	154.279	2126	333.176
DL	1.5428	2126	388.213
UL	155.079	2126	337.835
UL	1.5508	2126	38.595
DL	155.279	2126	341.293
DL	1.5528	2126	386.138
UL	156.079	2126	338.819
UL	1.5608	2126	385.711
DL	156.279	2126	338.925
DL	1.5628	2126	38.536
UL	157.079	2126	336.305
UL	1.5708	2126	390.739
DL	157.279	2126	334.216
DL	1.5728	2126	389.527
UL	158.079	2126	340.192
UL	1.5808	2126	394.535
DL	158.279	2126	341.076
DL	1.5828	2126	394.888
UL	159.079	2126	338.632
UL	1.5908	2126	398.838
DL	159.279	2126	340.053
DL	1.5928	2126	397.333
UL	160.079	2126	344.046
UL	1.6008	2126	39.822
DL	160.279	2126	343.185
DL	1.6028	2126	39.488
UL	161.079	2126	34.182
UL	1.6108	2126	396.992
DL	161.279	2126	342.727
DL	1.6128	2126	400.719
UL	162.079	2126	345.905
UL	1.6208	2126	40.524
DL	162.279	2126	348.611
DL	1.6228	2126	401.509
UL	163.079	2126	348.056
UL	1.6308	2126	403.182
DL	163.279	2126	346.683
DL	1.6328	2126	404.291
UL	164.079	2126	338.604
UL	1.6408	2126	405.678
DL	164.279	2126	338.062
DL	1.6428	2126	406.411
UL	165.079	2126	337.261
UL	1.6508	2126	403.387
DL	165.279	2126	337.036
DL	1.6528	2126	399.944
UL	166.079	2126	337.511
UL	1.6608	2126	397.534
DL	166.279	2126	337.113
DL	1.6628	2126	396.503
UL	167.079	2126	337.569
UL	1.6708	2126	387.945
DL	167.279	2126	340.924
DL	1.6728	2126	38.739
UL	168.079	2126	346.221
UL	1.6808	2126	401.684
DL	168.279	2126	350.166
DL	1.6828	2126	400.365
UL	169.079	2126	356.188
UL	1.6908	2126	400.657
DL	169.279	2126	358.344
DL	1.6928	2126	400.148
UL	170.079	2126	356.342
UL	1.7008	2126	397.698
DL	170.279	2126	356.322
DL	1.7028	2126	398.568
UL	171.079	2126	35.805
UL	1.7108	2126	401.296
DL	171.279	2126	361.253
DL	1.7128	2126	401.506
UL	172.079	2126	368.164
UL	1.7208	2126	395.272
DL	172.279	2126	366.349
DL	1.7228	2126	395.534
UL	173.079	2126	361.032
UL	1.7308	2126	391.014
DL	173.279	2126	35.745
DL	1.7328	2126	391.765
UL	174.079	2126	363.508
UL	1.7408	2126	393.855
DL	174.279	2126	361.404
DL	1.7428	2126	39.459
UL	175.079	2126	355.945
UL	1.7508	2126	39.767
DL	175.279	2126	353.632
DL	1.7528	2126	401.668
UL	176.079	2126	356.376
UL	1.7608	2126	406.888
DL	176.279	2126	353.511
DL	1.7628	2126	410.234
UL	177.079	2126	346.485
UL	1.7708	2126	409.934
DL	177.279	2126	347.939
DL	1.7728	2126	407.769
UL	178.079	2126	35.283
UL	1.7808	2126	408.643
DL	178.279	2126	351.776
DL	1.7828	2126	409.128
UL	179.079	2126	35.342
UL	1.7908	2126	413.285
DL	179.279	2126	353.596
DL	1.7928	2126	410.114
UL	180.079	2126	349.518
UL	1.8008	2126	410.167
DL	180.279	2126	350.982
DL	1.8028	2126	412.592
UL	181.079	2126	351.526
UL	1.8108	2126	415.801
DL	181.279	2126	350.854
DL	1.8128	2126	415.378
UL	182.079	2126	352.723
UL	1.8208	2126	415.742
DL	182.279	2126	351.876
DL	1.8228	2126	417.374
UL	183.079	2126	351.251
UL	1.8308	2126	424.104
DL	183.279	2126	350.818
DL	1.8328	2126	423.668
UL	184.079	2126	351.803
UL	1.8408	2126	424.222
DL	184.279	2126	353.012
DL	1.8428	2126	425.404
UL	185.079	2126	352.842
UL	1.8508	2126	416.555
DL	185.279	2126	350.572
DL	1.8528	2126	415.751
UL	186.079	2126	353.914
UL	1.8608	2126	418.696
DL	186.279	2126	354.323
DL	1.8628	2126	417.592
UL	187.079	2126	351.348
UL	1.8708	2126	408.956
DL	187.279	2126	35.193
DL	1.8728	2126	411.536
UL	188.079	2126	352.049
UL	1.8808	2126	420.034
DL	188.279	2126	353.051
DL	1.8828	2126	41.891
UL	189.079	2126	358.999
UL	1.8908	2126	413.403
DL	189.279	2126	360.891
DL	1.8928	2126	412.455
UL	190.079	2126	356.803
UL	1.9008	2126	408.491
DL	190.279	2126	355.149
DL	1.9028	2126	408.619
UL	191.079	2126	354.881
UL	1.9108	2126	407.606
DL	191.279	2126	355.774
DL	1.9128	2126	407.669
UL	192.079	2126	356.941
UL	1.9208	2126	403.037
DL	192.279	2126	363.196
DL	1.9228	2126	40.225
UL	193.079	2126	364.577
UL	1.9308	2126	404.739
DL	193.279	2126	363.025
DL	1.9328	2126	404.176
UL	194.079	2126	365.914
UL	1.9408	2126	401.114
DL	194.279	2126	366.253
DL	1.9428	2126	401.405
UL	195.079	2126	366.475
UL	1.9508	2126	402.579
DL	195.279	2126	371.347
DL	1.9528	2126	40.194
UL	196.079	2126	372.687
UL	1.9608	2126	394.384
DL	196.279	2126	375.018
DL	1.9628	2126	39.791
UL	197.079	2126	373.868
UL	1.9708	2126	39.913
DL	197.279	2126	371.042
DL	1.9728	2126	397.766
UL	198.079	2126	378.262
UL	1.9808	2126	399.479
DL	198.279	2126	383.189
DL	1.9828	2126	401.226
UL	199.079	2126	38.112
UL	1.9908	2126	397.384
DL	199.279	2126	381.223
DL	1.9928	2126	397.589
UL	200.079	2126	378.407
UL	2.2008	2126	398.998
DL	200.279	2126	382.194
DL	2.2028	2126	395.414
UL	201.079	2126	385.979
UL	2.0108	2126	396.122
DL	201.279	2126	389.331
DL	2.0128	2126	396.061
UL	202.079	2126	389.318
UL	2.0208	2126	395.547
DL	202.279	2126	386.686
DL	2.0228	2126	395.494
UL	203.079	2126	383.419
UL	2.0308	2126	39.243
DL	203.279	2126	383.385
DL	2.0328	2126	388.284
UL	204.079	2126	377.744
UL	2.0408	2126	38.749
DL	204.279	2126	379.197
DL	2.0428	2126	387.607
UL	205.079	2126	381.285
UL	2.0508	2126	386.278
DL	205.279	2126	381.306
DL	2.0528	2126	389.247
UL	206.079	2126	380.741
